phi,Pe,r,g_avg
30,15,1.9125,0.8784316444444448
30,15,1.9375,0.8877418444444447
30,15,1.9625,0.9273888222222221
30,15,1.9875,0.7781971444444445
30,15,2.0125,0.781780577777777
30,15,2.0375,0.8408999555555557
30,15,2.0625,0.9309090333333324
30,15,2.0875,1.012375388888888
30,15,2.1125,1.0729783555555554
30,15,2.1375,0.9668617000000003
30,15,2.1625,1.0389210888888878
30,15,2.1875,1.2373333777777782
30,15,2.2125,1.238418077777777
30,15,2.2375,1.3348231777777781
30,15,2.2625,1.3436465888888889
30,15,2.2875,1.4484518888888898
30,15,2.3125,1.3578377999999998
30,15,2.3375,1.3689842888888886
30,15,2.3625,1.2500882444444437
30,15,2.3875,1.304014233333333
30,15,2.4125,1.2849741222222233
30,15,2.4375,1.2225641333333328
30,15,2.4625,1.0991540999999996
30,15,2.4875,1.0639864777777768
30,15,2.5125,1.2311775999999999
30,15,2.5375,1.058785011111111
30,15,2.5625,1.058861822222222
30,15,2.5875,1.020289755555556
30,15,2.6125,1.1202551888888892
30,15,2.6375,1.0085310222222221
30,15,2.6625,0.9564946666666674
30,15,2.6875,0.9525581333333325
30,15,2.7125,0.9536099888888898
30,15,2.7375,0.9765600555555541
30,15,2.7625,0.9604827777777776
30,15,2.7875,0.954260222222222
30,15,2.8125,0.9955555555555561
30,15,2.8375,0.9374450888888893
30,15,2.8625,1.022416366666666
30,15,2.8875,0.9304474000000004
30,15,2.9125,1.000286244444445
30,15,2.9375,1.0031206222222213
30,15,2.9625,0.9946555333333338
30,15,2.9875,0.9506277000000003
30,15,3.0125,0.9936377111111117
30,15,3.0375,0.9547326555555555
30,15,3.0625,1.0492518333333336
30,15,3.0875,0.9392713333333333
30,15,3.1125,0.9724229555555556
30,15,3.1375,0.9986719555555552
30,15,3.1625,1.0329380999999997
30,15,3.1875,1.0101962111111118
30,15,3.2125,1.035538355555556
30,15,3.2375,1.0254826888888897
30,15,3.2625,1.0482757555555549
30,15,3.2875,1.119391866666666
30,15,3.3125,1.0646542222222224
30,15,3.3375,1.0406991333333337
30,15,3.3625,1.1043370666666679
30,15,3.3875,1.0273062888888889
30,15,3.4125,1.0529916222222218
30,15,3.4375,1.1151515333333333
30,15,3.4625,1.0685920444444441
30,15,3.4875,1.041815944444444
30,15,3.5125,1.0173193000000003
30,15,3.5375,1.0987044666666652
30,15,3.5625,0.9955554777777771
30,15,3.5875,1.027642311111111
30,15,3.6125,1.1035757777777784
30,15,3.6375,1.0648339666666666
30,15,3.6625,1.0484642222222218
30,15,3.6875,1.0051978555555545
30,15,3.7125,1.1133558888888893
30,15,3.7375,1.0256411888888897
30,15,3.7625,0.9692137888888891
30,15,3.7875,0.9645764999999998
30,15,3.8125,0.9949725777777775
30,15,3.8375,0.988490777777777
30,15,3.8625,1.0166128666666663
30,15,3.8875,1.020364466666667
30,15,3.9125,1.0053249555555557
30,15,3.9375,0.998942111111111
30,15,3.9625,1.0649843222222226
30,15,3.9875,1.0265413888888892
30,15,4.0125,0.9221184222222217
30,15,4.0375,0.9742002444444451
30,15,4.0625,0.9665642777777773
30,15,4.0875,1.0242610222222217
30,15,4.1125,1.034245255555556
30,15,4.1375,1.0408862888888901
30,15,4.1625,1.015415488888889
30,15,4.1875,0.9998010555555552
30,15,4.2125,1.0840751444444443
30,15,4.2375,0.9974436222222232
30,15,4.2625,1.0760508111111113
30,15,4.2875,0.9531585555555548
30,15,4.3125,0.9909179777777778
30,15,4.3375,1.0451489444444444
30,15,4.3625,1.007067855555556
30,15,4.3875,1.0438747
30,15,4.4125,1.0288951666666668
30,15,4.4375,0.9870422666666667
30,15,4.4625,0.9919701888888889
30,15,4.4875,1.0503249444444442
30,15,4.5125,1.0193906666666661
30,15,4.5375,1.026997288888889
30,15,4.5625,0.9614612444444433
30,15,4.5875,1.0085378222222219
30,15,4.6125,1.0146341333333335
30,15,4.6375,1.0264152111111116
30,15,4.6625,1.0423593333333334
30,15,4.6875,1.0453333333333341
30,15,4.7125,0.9676395777777782
30,15,4.7375,1.0596307555555566
30,15,4.7625,0.9868766888888887
30,15,4.7875,0.9469104444444454
30,15,4.8125,1.0223377333333334
30,15,4.8375,1.0391041555555554
30,15,4.8625,0.951499644444444
30,15,4.8875,0.9861893333333334
30,15,4.9125,1.0164546888888888
30,15,4.9375,1.0140085444444447
30,15,4.9625,1.0089001000000002
30,15,4.9875,1.038596577777778
30,15,0.0125,0.0
30,15,0.0375,0.0
30,15,0.0625,0.0
30,15,0.0875,0.0
30,15,0.1125,0.0
30,15,0.1375,0.0
30,15,0.1625,0.0
30,15,0.1875,0.0
30,15,0.2125,0.0
30,15,0.2375,0.0
30,15,0.2625,0.0
30,15,0.2875,0.0
30,15,0.3125,0.0
30,15,0.3375,0.0
30,15,0.3625,0.0
30,15,0.3875,0.0
30,15,0.4125,0.0
30,15,0.4375,0.0
30,15,0.4625,0.0
30,15,0.4875,0.0
30,15,0.5125,0.0
30,15,0.5375,0.0
30,15,0.5625,0.0
30,15,0.5875,0.0
30,15,0.6125,0.0
30,15,0.6375,0.0
30,15,0.6625,0.0
30,15,0.6875,0.0
30,15,0.7125,0.0
30,15,0.7375,0.0
30,15,0.7625,0.0
30,15,0.7875,0.0
30,15,0.8125,0.0
30,15,0.8375,0.0
30,15,0.8625,0.0
30,15,0.8875,0.0
30,15,0.9125,0.0
30,15,0.9375,0.0
30,15,0.9625,0.0
30,15,0.9875,0.0
30,15,1.0125,0.0
30,15,1.0375,0.0
30,15,1.0625,0.0
30,15,1.0875,0.04291186666666667
30,15,1.1125,2.7625470777777794
30,15,1.1375,5.1692311
30,15,1.1625,4.146236833333337
30,15,1.1875,3.570526666666664
30,15,1.2125,3.062543188888889
30,15,1.2375,2.6235693444444426
30,15,1.2625,2.04884501111111
30,15,1.2875,1.6776699555555559
30,15,1.3125,1.6558732111111119
30,15,1.3375,1.6049843888888886
30,15,1.3625,1.3113150666666662
30,15,1.3875,1.2636636111111106
30,15,1.4125,1.3073747666666675
30,15,1.4375,1.0388406333333329
30,15,1.4625,1.0894587222222216
30,15,1.4875,1.075630244444444
30,15,1.5125,0.9652891777777771
30,15,1.5375,0.9105693222222224
30,15,1.5625,0.8576000000000006
30,15,1.5875,0.9658794000000005
30,15,1.6125,0.7979327666666662
30,15,1.6375,0.854961788888889
30,15,1.6625,0.9744362444444445
30,15,1.6875,0.9125927222222224
30,15,1.7125,0.8681266111111098
30,15,1.7375,0.821103288888889
30,15,1.7625,0.7375888111111106
30,15,1.7875,0.8913752666666669
30,15,1.8125,0.919540555555556
30,15,1.8375,0.8199547888888885
30,15,1.8625,0.6693512666666661
30,15,1.8875,0.7487859333333335
30,15,1.9125,0.8505449111111111
30,15,1.9375,0.7913978111111107
30,15,1.9625,0.8492571999999998
30,15,1.9875,0.8821803777777776
30,15,2.0125,0.6890269222222216
30,15,2.0375,0.9456034000000001
30,15,2.0625,0.863030188888888
30,15,2.0875,0.9580839777777772
30,15,2.1125,0.9057199555555561
30,15,2.1375,0.9575049666666666
30,15,2.1625,1.1221580888888878
30,15,2.1875,1.1306666777777785
30,15,2.2125,1.2173258222222207
30,15,2.2375,1.2692738111111117
30,15,2.2625,1.384898822222223
30,15,2.2875,1.372677744444445
30,15,2.3125,1.3174774222222225
30,15,2.3375,1.3832444777777775
30,15,2.3625,1.2726632333333325
30,15,2.3875,1.3263527777777773
30,15,2.4125,1.1440414444444449
30,15,2.4375,1.113162411111111
30,15,2.4625,1.1478850888888887
30,15,2.4875,1.14974861111111
30,15,2.5125,1.1064677999999994
30,15,2.5375,1.1165846666666666
30,15,2.5625,1.0614634888888888
30,15,2.5875,1.0795490333333337
30,15,2.6125,1.0666667000000003
30,15,2.6375,1.0616115222222227
30,15,2.6625,1.0766825444444457
30,15,2.6875,1.0666666333333334
30,15,2.7125,0.9167435777777787
30,15,2.7375,1.010654422222221
30,15,2.7625,0.9291102666666663
30,15,2.7875,1.011659333333333
30,15,2.8125,1.026370388888889
30,15,2.8375,0.9938327666666671
30,15,2.8625,0.9432314999999994
30,15,2.8875,0.9050505222222225
30,15,2.9125,1.0391989333333334
30,15,2.9375,0.9804255555555549
30,15,2.9625,0.9406470000000008
30,15,2.9875,0.9483962555555556
30,15,3.0125,1.00912878888889
30,15,3.0375,0.9415639
30,15,3.0625,0.9229933000000001
30,15,3.0875,0.9824562222222221
30,15,3.1125,0.8824631444444447
30,15,3.1375,1.049668011111111
30,15,3.1625,1.007641755555555
30,15,3.1875,0.972549122222223
30,15,3.2125,1.0708172888888885
30,15,3.2375,1.0975547444444451
30,15,3.2625,1.0646231333333327
30,15,3.2875,1.0017746333333326
30,15,3.3125,0.9841509444444445
30,15,3.3375,1.012734088888889
30,15,3.3625,1.1003718111111118
30,15,3.3875,1.1217712111111113
30,15,3.4125,1.1115996333333333
30,15,3.4375,1.0375757666666667
30,15,3.4625,1.0878459777777774
30,15,3.4875,1.1163679111111109
30,15,3.5125,1.1217083888888895
30,15,3.5375,1.0459365777777774
30,15,3.5625,1.0292396888888884
30,15,3.5875,1.0369339111111107
30,15,3.6125,1.035294333333333
30,15,3.6375,1.0116838888888884
30,15,3.6625,1.0248010333333335
30,15,3.6875,1.0485876555555542
30,15,3.7125,1.0397307777777787
30,15,3.7375,0.9649946333333336
30,15,3.7625,1.0631230333333341
30,15,3.7875,1.033223388888889
30,15,3.8125,0.9739889333333329
30,15,3.8375,1.0284474111111115
30,15,3.8625,0.994174866666666
30,15,3.8875,1.0357985444444446
30,15,3.9125,1.0121407444444446
30,15,3.9375,0.970159033333333
30,15,3.9625,1.0431125777777779
30,15,3.9875,1.0131661888888894
30,15,4.0125,1.0184839333333329
30,15,4.0375,1.027038255555556
30,15,4.0625,1.0190771
30,15,4.0875,1.0014271777777777
30,15,4.1125,1.0196556222222222
30,15,4.1375,0.9699900666666674
30,15,4.1625,0.9433434000000005
30,15,4.1875,1.0236817222222216
30,15,4.2125,1.017606311111111
30,15,4.2375,0.9927238444444454
30,15,4.2625,0.9947214222222223
30,15,4.2875,1.0153548999999993
30,15,4.3125,1.0233817666666665
30,15,4.3375,0.9805955999999999
30,15,4.3625,0.9933143222222222
30,15,4.3875,1.013485400000001
30,15,4.4125,0.9911236666666668
30,15,4.4375,1.0516431888888882
30,15,4.4625,1.04575171111111
30,15,4.4875,0.995357422222222
30,15,4.5125,1.0001847555555552
30,15,4.5375,1.0005509999999995
30,15,4.5625,1.033059444444443
30,15,4.5875,1.0797457444444447
30,15,4.6125,1.0637760555555553
30,15,4.6375,1.019227466666667
30,15,4.6625,1.0352100888888893
30,15,4.6875,1.012622222222223
30,15,4.7125,0.998762488888889
30,15,4.7375,0.9625331555555565
30,15,4.7625,1.0806650555555564
30,15,4.7875,0.9845083888888898
30,15,4.8125,1.0084849333333334
30,15,4.8375,1.0322135444444451
30,15,4.8625,1.0337619222222219
30,15,4.8875,1.0407503000000002
30,15,4.9125,0.9893130111111103
30,15,4.9375,1.0815191000000004
30,15,4.9625,1.0330815111111118
30,15,4.9875,0.9610694666666662
30,15,0.0125,0.0
30,15,0.0375,0.0
30,15,0.0625,0.0
30,15,0.0875,0.0
30,15,0.1125,0.0
30,15,0.1375,0.0
30,15,0.1625,0.0
30,15,0.1875,0.0
30,15,0.2125,0.0
30,15,0.2375,0.0
30,15,0.2625,0.0
30,15,0.2875,0.0
30,15,0.3125,0.0
30,15,0.3375,0.0
30,15,0.3625,0.0
30,15,0.3875,0.0
30,15,0.4125,0.0
30,15,0.4375,0.0
30,15,0.4625,0.0
30,15,0.4875,0.0
30,15,0.5125,0.0
30,15,0.5375,0.0
30,15,0.5625,0.0
30,15,0.5875,0.0
30,15,0.6125,0.0
30,15,0.6375,0.0
30,15,0.6625,0.0
30,15,0.6875,0.0
30,15,0.7125,0.0
30,15,0.7375,0.0
30,15,0.7625,0.0
30,15,0.7875,0.0
30,15,0.8125,0.0
30,15,0.8375,0.0
30,15,0.8625,0.0
30,15,0.8875,0.0
30,15,0.9125,0.0
30,15,0.9375,0.0
30,15,0.9625,0.0
30,15,0.9875,0.0
30,15,1.0125,0.0
30,15,1.0375,0.0
30,15,1.0625,0.0
30,15,1.0875,0.0183908
30,15,1.1125,3.062172566666667
30,15,1.1375,5.421245766666666
30,15,1.1625,4.381362322222225
30,15,1.1875,3.205614244444445
30,15,1.2125,2.7601376666666666
30,15,1.2375,2.2949498333333307
30,15,1.2625,2.0752476333333325
30,15,1.2875,1.719093877777778
30,15,1.3125,1.5492065666666668
30,15,1.3375,1.3906541444444434
30,15,1.3625,1.321100999999999
30,15,1.3875,1.3117116777777775
30,15,1.4125,1.0949854111111117
30,15,1.4375,1.0573913222222215
30,15,1.4625,1.0347578
30,15,1.4875,0.9053221111111113
30,15,1.5125,0.960881488888888
30,15,1.5375,0.9322495444444442
30,15,1.5625,0.9216000000000005
30,15,1.5875,0.848294177777778
30,15,1.6125,0.8558139
30,15,1.6375,0.9160304555555551
30,15,1.6625,0.9263159222222224
30,15,1.6875,0.9204939111111113
30,15,1.7125,0.8603407222222208
30,15,1.7375,0.8556356777777779
30,15,1.7625,0.8661939888888881
30,15,1.7875,0.7682983888888892
30,15,1.8125,0.6951727000000004
30,15,1.8375,0.8888890111111108
30,15,1.8625,0.7731543999999994
30,15,1.8875,0.7699779777777781
30,15,1.9125,0.8366015777777783
30,15,1.9375,0.9255914000000001
30,15,1.9625,0.9205947888888886
30,15,1.9875,0.8385744777777777
30,15,2.0125,0.8281573888888885
30,15,2.0375,1.0012271666666666
30,15,2.0625,0.9212120555555543
30,15,2.0875,0.9836328888888886
30,15,2.1125,0.9183432222222221
30,15,2.1375,1.038596622222222
30,15,2.1625,1.0327553777777767
30,15,2.1875,1.0819047555555559
30,15,2.2125,1.2263653999999986
30,15,2.2375,1.2692738333333335
30,15,2.2625,1.3642727000000003
30,15,2.2875,1.2852460666666667
30,15,2.3125,1.4731531777777769
30,15,2.3375,1.3090911777777778
30,15,2.3625,1.2952381777777768
30,15,2.3875,1.1979059888888892
30,15,2.4125,1.215889477777778
30,15,2.4375,1.2252991777777773
30,15,2.4625,1.2182741999999998
30,15,2.4875,1.0961472666666658
30,15,2.5125,1.1860698000000005
30,15,2.5375,1.0403941999999995
30,15,2.5625,1.121300888888889
30,15,2.5875,1.0202897222222225
30,15,2.6125,0.9696969111111111
30,15,2.6375,1.011058588888889
30,15,2.6625,0.9464790222222232
30,15,2.6875,1.0096124222222214
30,15,2.7125,0.8995393444444452
30,15,2.7375,0.9911719444444435
30,15,2.7625,0.938763288888889
30,15,2.7875,0.9040360111111113
30,15,2.8125,1.024000022222223
30,15,2.8375,0.977386277777778
30,15,2.8625,1.0084425666666659
30,15,2.8875,0.9512266222222222
30,15,2.9125,1.020887022222222
30,15,2.9375,0.9985816111111109
30,15,2.9625,0.9856541111111115
30,15,2.9875,0.9506277555555561
30,15,3.0125,0.9781467333333337
30,15,3.0375,1.000823077777778
30,15,3.0625,1.0731974333333338
30,15,3.0875,0.9371120888888889
30,15,3.1125,1.0452475888888886
30,15,3.1375,0.9476759333333333
30,15,3.1625,0.9444006111111107
30,15,3.1875,0.9516341000000008
30,15,3.2125,1.0085604111111113
30,15,3.2375,1.0028314444444453
30,15,3.2625,1.062579666666667
30,15,3.2875,1.0686947111111107
30,15,3.3125,1.1210064555555557
30,15,3.3375,1.0646691555555556
30,15,3.3625,1.1776952000000005
30,15,3.3875,1.0371463999999997
30,15,3.4125,1.1252748444444445
30,15,3.4375,1.1073939777777781
30,15,3.4625,1.028158866666667
30,15,3.4875,1.1297490333333329
30,15,3.5125,0.9812576666666663
30,15,3.5375,1.0742051111111102
30,15,3.5625,0.9974268777777767
30,15,3.5875,1.0740999444444441
30,15,3.6125,1.0777395555555556
30,15,3.6375,1.0373425222222226
30,15,3.6625,1.0703072666666662
30,15,3.6875,1.0341243666666657
30,15,3.7125,0.9876543888888889
30,15,3.7375,0.9061317111111111
30,15,3.7625,1.0454043222222222
30,15,3.7875,0.9944995222222223
30,15,3.8125,1.0054643666666663
30,15,3.8375,0.9676439333333338
30,15,3.8625,0.9216829333333332
30,15,3.8875,1.0117899666666668
30,15,3.9125,0.9933974000000002
30,15,3.9375,1.0395770222222225
30,15,3.9625,1.0414301222222222
30,15,3.9875,1.048275966666667
30,15,4.0125,0.9520249666666663
30,15,4.0375,1.0765738888888896
30,15,4.0625,1.0420514777777774
30,15,4.0875,1.0242610222222222
30,15,4.1125,0.9629179888888895
30,15,4.1375,1.0296073555555565
30,15,4.1625,0.9929930555555561
30,15,4.1875,1.060298611111111
30,15,4.2125,1.0350147666666665
30,15,4.2375,1.0273354444444456
30,15,4.2625,1.0025415555555561
30,15,4.2875,1.0635569888888885
30,15,4.3125,0.9924639222222226
30,15,4.3375,1.042075033333333
30,15,4.3625,1.0529131666666667
30,15,4.3875,1.0226021444444444
30,15,4.4125,1.0319169111111117
30,15,4.4375,0.9690140888888887
30,15,4.4625,1.0397759999999998
30,15,4.4875,0.9522747666666667
30,15,4.5125,1.0400739555555554
30,15,4.5375,1.065197444444444
30,15,4.5625,1.0403653555555543
30,15,4.5875,1.0288829111111115
30,15,4.6125,1.0681120333333334
30,15,4.6375,1.0767297000000002
30,15,4.6625,0.9065236666666665
30,15,4.6875,1.0325333333333342
30,15,4.7125,1.0228119888888891
30,15,4.7375,1.0737029444444455
30,15,4.7625,1.0302713000000001
30,15,4.7875,0.9775458000000008
30,15,4.8125,0.9766234333333332
30,15,4.8375,0.9729542888888891
30,15,4.8625,0.9967439333333331
30,15,4.8875,1.0271100555555552
30,15,4.9125,1.0503817666666662
30,15,4.9375,1.0477638222222223
30,15,4.9625,1.0626364666666668
30,15,4.9875,0.9944862888888882
30,15,0.0125,0.0
30,15,0.0375,0.0
30,15,0.0625,0.0
30,15,0.0875,0.0
30,15,0.1125,0.0
30,15,0.1375,0.0
30,15,0.1625,0.0
30,15,0.1875,0.0
30,15,0.2125,0.0
30,15,0.2375,0.0
30,15,0.2625,0.0
30,15,0.2875,0.0
30,15,0.3125,0.0
30,15,0.3375,0.0
30,15,0.3625,0.0
30,15,0.3875,0.0
30,15,0.4125,0.0
30,15,0.4375,0.0
30,15,0.4625,0.0
30,15,0.4875,0.0
30,15,0.5125,0.0
30,15,0.5375,0.0
30,15,0.5625,0.0
30,15,0.5875,0.0
30,15,0.6125,0.0
30,15,0.6375,0.0
30,15,0.6625,0.0
30,15,0.6875,0.0
30,15,0.7125,0.0
30,15,0.7375,0.0
30,15,0.7625,0.0
30,15,0.7875,0.0
30,15,0.8125,0.0
30,15,0.8375,0.0
30,15,0.8625,0.0
30,15,0.8875,0.0
30,15,0.9125,0.0
30,15,0.9375,0.0
30,15,0.9625,0.0
30,15,0.9875,0.0
30,15,1.0125,0.0
