phi,Pe,r,g_avg
30,15,3.5625,1.0853801111111103
30,15,3.5875,1.0963995999999991
30,15,3.6125,1.0648214444444442
30,15,3.6375,1.0703323111111114
30,15,3.6625,0.9538111777777777
30,15,3.6875,0.9437289444444438
30,15,3.7125,0.9732885555555555
30,15,3.7375,1.0220737444444445
30,15,3.7625,1.0223699222222222
30,15,3.7875,1.0226622888888885
30,15,3.8125,1.0019670777777778
30,15,3.8375,1.0492943222222224
30,15,3.8625,1.0252428
30,15,3.8875,1.0066452777777781
30,15,3.9125,1.0053249777777782
30,15,3.9375,1.0124870777777775
30,15,3.9625,1.0750790000000003
30,15,3.9875,1.0248694666666667
30,15,4.0125,0.9586708777777774
30,15,4.0375,1.0534572666666675
30,15,4.0625,1.0190770888888885
30,15,4.0875,1.0487258555555556
30,15,4.1125,0.9369808333333338
30,15,4.1375,0.96837878888889
30,15,4.1625,0.9705706555555556
30,15,4.1875,1.114428
30,15,4.2125,1.0540058999999997
30,15,4.2375,1.096558600000001
30,15,4.2625,1.0494624111111117
30,15,4.2875,1.0386784666666662
30,15,4.3125,1.057391422222222
30,15,4.3375,1.0282421555555554
30,15,4.3625,1.005539677777778
30,15,4.3875,1.030199488888889
30,15,4.4125,1.0228516888888894
30,15,4.4375,1.0591549555555557
30,15,4.4625,1.0054155666666662
30,15,4.4875,1.0220983666666663
30,15,4.5125,0.994275244444444
30,15,4.5375,1.0123049222222222
30,15,4.5625,1.05497721111111
30,15,4.5875,0.9910990555555563
30,15,4.6125,1.0565492555555558
30,15,4.6375,1.0681043777777786
30,15,4.6625,1.0237712666666663
30,15,4.6875,0.961422222222223
30,15,4.7125,1.0511055444444446
30,15,4.7375,0.9864557666666676
30,15,4.7625,0.988276611111111
30,15,4.7875,1.0276763444444454
30,15,4.8125,1.0015584777777782
30,15,4.8375,1.0418603999999998
30,15,4.8625,0.9844045555555555
30,15,4.8875,0.9616368444444444
30,15,4.9125,0.9852417555555552
30,15,4.9375,1.0734178333333337
30,15,4.9625,1.0290511888888887
30,15,4.9875,1.0105264333333335
