,complexity,loss,score,equation,sympy_format,lambda_format
20,26,0.21531856,0.01716977385850379,((((Pe ^ 0.71750075) * ((phi - (cos_theta * 0.18824793)) ^ r)) / ((r * 0.1878954) + exp(0.63860196 / (r - 1.1786901)))) - -1.0910001) ^ 0.71743053,(Pe**0.71750075*(-0.18824793*cos_theta + phi)**r/(r*0.1878954 + exp(0.63860196/(r - 1*1.1786901))) - 1*(-1.0910001))**0.71743053,PySRFunction(X=>(Pe**0.71750075*(-0.18824793*cos_theta + phi)**r/(r*0.1878954 + exp(0.63860196/(r - 1*1.1786901))) - 1*(-1.0910001))**0.71743053)
21,27,0.20748852,0.03704259311074444,((((Pe ^ 0.6699593) * ((phi - (cos_theta * 0.20064177)) / (log(r) ^ r))) / (1.7376248 + exp(1.3447242 / (r - 1.1695688)))) + 0.8977816) ^ 0.6748366,(Pe**0.6699593*(-0.20064177*cos_theta + phi)/((exp(1.3447242/(r - 1.1695688)) + 1.7376248)*log(r)**r) + 0.8977816)**0.6748366,PySRFunction(X=>(Pe**0.6699593*(-0.20064177*cos_theta + phi)/((exp(1.3447242/(r - 1.1695688)) + 1.7376248)*log(r)**r) + 0.8977816)**0.6748366)
22,28,0.20742086,0.0003261435092151811,((((Pe ^ 0.670469) * ((phi - (cos_theta * 0.20064177)) / (log(r) ^ r))) / (exp(0.5580884) + exp(1.3447242 / (r - 1.1695688)))) + 0.90294635) ^ 0.6748366,(Pe**0.670469*(-0.20064177*cos_theta + phi)/((exp(1.3447242/(r - 1.1695688)) + 1.74732911137379)*log(r)**r) + 0.90294635)**0.6748366,PySRFunction(X=>(Pe**0.670469*(-0.20064177*cos_theta + phi)/((exp(1.3447242/(r - 1.1695688)) + 1.74732911137379)*log(r)**r) + 0.90294635)**0.6748366)
23,29,0.20102243,0.03133337545688389,(0.94704634 + (((Pe ^ 0.6699593) * ((phi - (0.20149876 * cos_theta)) / (log(r) ^ r))) / (exp((phi ^ -0.4130566) / (r - 1.1643034)) + 1.7376248))) ^ 0.6748366,(Pe**0.6699593*(-0.20149876*cos_theta + phi)/((exp(1/(phi**0.4130566*(r - 1.1643034))) + 1.7376248)*log(r)**r) + 0.94704634)**0.6748366,PySRFunction(X=>(Pe**0.6699593*(-0.20149876*cos_theta + phi)/((exp(1/(phi**0.4130566*(r - 1.1643034))) + 1.7376248)*log(r)**r) + 0.94704634)**0.6748366)
24,30,0.17488106,0.13931040816391282,(((((Pe ^ 0.67440623) - (-0.24936154 / (r + -2.2297084))) * ((phi - (cos_theta * 0.18773106)) ^ r)) / (exp(1.0525911 / (r - 1.1635845)) + 0.18016142)) - -1.067621) ^ 0.7192124,((Pe**0.67440623 - (-1)*0.24936154/(r - 2.2297084))*(-0.18773106*cos_theta + phi)**r/(exp(1.0525911/(r - 1*1.1635845)) + 0.18016142) - 1*(-1.067621))**0.7192124,PySRFunction(X=>((Pe**0.67440623 - (-1)*0.24936154/(r - 2.2297084))*(-0.18773106*cos_theta + phi)**r/(exp(1.0525911/(r - 1*1.1635845)) + 0.18016142) - 1*(-1.067621))**0.7192124)
25,31,0.17480618,0.00042826842148714514,(((((Pe ^ 0.67440623) - (-0.24936154 / (r + -2.2297084))) * ((phi - (cos_theta * 0.18773106)) ^ r)) / (exp(sqrt(1.1635845) / (r - 1.1635845)) + 0.18016142)) - -1.067621) ^ 0.7192124,1.04818498983855*(0.936661980234559*(Pe**0.67440623 + 0.24936154/(r - 2.2297084))*(-0.18773106*cos_theta + phi)**r/(exp(1.07869574023447/(r - 1.1635845)) + 0.18016142) + 1)**0.7192124,PySRFunction(X=>1.04818498983855*(0.936661980234559*(Pe**0.67440623 + 0.24936154/(r - 2.2297084))*(-0.18773106*cos_theta + phi)**r/(exp(1.07869574023447/(r - 1.1635845)) + 0.18016142) + 1)**0.7192124)
26,32,0.16665606,0.04774564955857692,(((((phi - (0.19234873 * cos_theta)) ^ r) * ((Pe ^ 0.6748366) - (-0.32296765 / (-2.2297084 + r)))) / (0.18016142 + exp((0.63331884 ^ cos_theta) / (r - 1.1635845)))) - -1.0894192) ^ 0.72145134,((Pe**0.6748366 - (-1)*0.32296765/(r - 2.2297084))*(-0.19234873*cos_theta + phi)**r/(exp(0.63331884**cos_theta/(r - 1*1.1635845)) + 0.18016142) - 1*(-1.0894192))**0.72145134,PySRFunction(X=>((Pe**0.6748366 - (-1)*0.32296765/(r - 2.2297084))*(-0.19234873*cos_theta + phi)**r/(exp(0.63331884**cos_theta/(r - 1*1.1635845)) + 0.18016142) - 1*(-1.0894192))**0.72145134)
27,33,0.16254029,0.025006258229301366,(0.90424114 + ((((Pe ^ 0.6699593) - (-0.17381173 / (r + -2.2297084))) * ((phi - (0.20021057 * cos_theta)) / (log(r) ^ r))) / (1.7117239 + exp(1.8042374 / (r - 1.1635845))))) ^ 0.6748366,((Pe**0.6699593 + 0.17381173/(r - 2.2297084))*(-0.20021057*cos_theta + phi)/((exp(1.8042374/(r - 1.1635845)) + 1.7117239)*log(r)**r) + 0.90424114)**0.6748366,PySRFunction(X=>((Pe**0.6699593 + 0.17381173/(r - 2.2297084))*(-0.20021057*cos_theta + phi)/((exp(1.8042374/(r - 1.1635845)) + 1.7117239)*log(r)**r) + 0.90424114)**0.6748366)
28,35,0.1570052,0.01732349184037119,(0.87659675 + ((((Pe ^ 0.668792) - (-0.13574885 / (-2.2297084 + r))) * ((phi - (0.20021057 * cos_theta)) / (log(r) ^ r))) / (1.7117239 + exp((phi ^ -0.44473258) / (r - 1.1635845))))) ^ 0.6748366,((Pe**0.668792 + 0.13574885/(r - 2.2297084))*(-0.20021057*cos_theta + phi)/((exp(1/(phi**0.44473258*(r - 1.1635845))) + 1.7117239)*log(r)**r) + 0.87659675)**0.6748366,PySRFunction(X=>((Pe**0.668792 + 0.13574885/(r - 2.2297084))*(-0.20021057*cos_theta + phi)/((exp(1/(phi**0.44473258*(r - 1.1635845))) + 1.7117239)*log(r)**r) + 0.87659675)**0.6748366)
29,37,0.15491833,0.006690425493886103,((r ^ -0.15652299) + ((((Pe ^ 0.6693993) - (-0.13706642 / (r + -2.2297084))) * ((phi - (cos_theta * 0.20064177)) / (log(r) ^ r))) / (1.7187265 + exp((phi ^ -0.44473258) / (r - 1.1635845))))) ^ 0.6748366,(r**(-0.15652299) + (Pe**0.6693993 + 0.13706642/(r - 2.2297084))*(-0.20064177*cos_theta + phi)/((exp(1/(phi**0.44473258*(r - 1.1635845))) + 1.7187265)*log(r)**r))**0.6748366,PySRFunction(X=>(r**(-0.15652299) + (Pe**0.6693993 + 0.13706642/(r - 2.2297084))*(-0.20064177*cos_theta + phi)/((exp(1/(phi**0.44473258*(r - 1.1635845))) + 1.7187265)*log(r)**r))**0.6748366)
30,39,0.15024343,0.015320614746680457,(((((Pe ^ 0.6694061) - (-0.14135401 / (r + -2.2297084))) * ((phi - (0.18288653 * cos_theta)) / (log(r) ^ r))) / ((0.7144905 + (1.1867118 ^ cos_theta)) + exp((phi ^ -0.44473258) / (r - 1.1635845)))) + 0.8685334) ^ 0.6696601,((Pe**0.6694061 + 0.14135401/(r - 2.2297084))*(-0.18288653*cos_theta + phi)/((1.1867118**cos_theta + exp(1/(phi**0.44473258*(r - 1.1635845))) + 0.7144905)*log(r)**r) + 0.8685334)**0.6696601,PySRFunction(X=>((Pe**0.6694061 + 0.14135401/(r - 2.2297084))*(-0.18288653*cos_theta + phi)/((1.1867118**cos_theta + exp(1/(phi**0.44473258*(r - 1.1635845))) + 0.7144905)*log(r)**r) + 0.8685334)**0.6696601)
31,40,0.14595568,0.028953831357455856,((exp(phi / (r - 1.1726938)) ^ 0.059861127) + ((((Pe ^ 0.6655944) - (-0.17409639 / (r + -2.2297084))) * ((phi - (0.19542111 * cos_theta)) / (log(r) ^ r))) / (1.5910065 + exp(1.8647587 / (r - 1.1635845))))) ^ 0.6672858,((Pe**0.6655944 + 0.17409639/(r - 2.2297084))*(-0.19542111*cos_theta + phi)/((exp(1.8647587/(r - 1.1635845)) + 1.5910065)*log(r)**r) + exp(phi/(r - 1.1726938))**0.059861127)**0.6672858,PySRFunction(X=>((Pe**0.6655944 + 0.17409639/(r - 2.2297084))*(-0.19542111*cos_theta + phi)/((exp(1.8647587/(r - 1.1635845)) + 1.5910065)*log(r)**r) + exp(phi/(r - 1.1726938))**0.059861127)**0.6672858)
32,41,0.14479513,0.007983167190996182,(0.8637289 + ((((phi - (0.1706639 * cos_theta)) / (log(r) ^ r)) * ((Pe ^ 0.6672858) - (-0.14135401 / (-2.2297084 + r)))) / ((0.7162739 + ((phi ^ cos_theta) ^ -0.26109853)) + exp((phi ^ -0.44473258) / (r - 1.1635845))))) ^ 0.6694061,((Pe**0.6672858 + 0.14135401/(r - 2.2297084))*(-0.1706639*cos_theta + phi)/(((phi**cos_theta)**(-0.26109853) + exp(1/(phi**0.44473258*(r - 1.1635845))) + 0.7162739)*log(r)**r) + 0.8637289)**0.6694061,PySRFunction(X=>((Pe**0.6672858 + 0.14135401/(r - 2.2297084))*(-0.1706639*cos_theta + phi)/(((phi**cos_theta)**(-0.26109853) + exp(1/(phi**0.44473258*(r - 1.1635845))) + 0.7162739)*log(r)**r) + 0.8637289)**0.6694061)
33,42,0.14074324,0.028382609342127066,(((((phi - (cos_theta * 0.19436678)) / (log(r) ^ r)) * ((Pe ^ 0.6655944) - (-0.14180721 / (r + -2.2297084)))) / (1.5910065 + exp(1.5910065 / (r - 1.1635845)))) + ((exp(phi / (r - 1.1726938)) / Pe) ^ 0.069762774)) ^ 0.6672858,((exp(phi/(r - 1.1726938))/Pe)**0.069762774 + (Pe**0.6655944 + 0.14180721/(r - 2.2297084))*(-0.19436678*cos_theta + phi)/((exp(1.5910065/(r - 1.1635845)) + 1.5910065)*log(r)**r))**0.6672858,PySRFunction(X=>((exp(phi/(r - 1.1726938))/Pe)**0.069762774 + (Pe**0.6655944 + 0.14180721/(r - 2.2297084))*(-0.19436678*cos_theta + phi)/((exp(1.5910065/(r - 1.1635845)) + 1.5910065)*log(r)**r))**0.6672858)
34,43,0.14015093,0.004217324111020926,(((((Pe ^ 0.6672858) - (-0.15009499 / (r + -2.2297084))) * ((phi - (0.19234873 * cos_theta)) / (log(r) ^ r))) / (1.5910065 + exp(1.6655679 / (r - 1.1635845)))) + ((exp(sqrt(phi) / (r - 1.1635845)) / Pe) ^ 0.069762774)) ^ 0.668792,((exp(sqrt(phi)/(r - 1.1635845))/Pe)**0.069762774 + (Pe**0.6672858 + 0.15009499/(r - 2.2297084))*(-0.19234873*cos_theta + phi)/((exp(1.6655679/(r - 1.1635845)) + 1.5910065)*log(r)**r))**0.668792,PySRFunction(X=>((exp(sqrt(phi)/(r - 1.1635845))/Pe)**0.069762774 + (Pe**0.6672858 + 0.15009499/(r - 2.2297084))*(-0.19234873*cos_theta + phi)/((exp(1.6655679/(r - 1.1635845)) + 1.5910065)*log(r)**r))**0.668792)
35,44,0.13409276,0.04418811406608005,(((((Pe ^ 0.6655944) - (-0.14180721 / (r + -2.2297084))) * ((phi - (cos_theta * 0.19436678)) / (log(r) ^ r))) / (1.5910065 + exp((phi ^ -0.44473258) / (r - 1.1635845)))) + ((exp(phi / (r - 1.1726938)) / Pe) ^ 0.069762774)) ^ 0.6672858,((exp(phi/(r - 1.1726938))/Pe)**0.069762774 + (Pe**0.6655944 + 0.14180721/(r - 2.2297084))*(-0.19436678*cos_theta + phi)/((exp(1/(phi**0.44473258*(r - 1.1635845))) + 1.5910065)*log(r)**r))**0.6672858,PySRFunction(X=>((exp(phi/(r - 1.1726938))/Pe)**0.069762774 + (Pe**0.6655944 + 0.14180721/(r - 2.2297084))*(-0.19436678*cos_theta + phi)/((exp(1/(phi**0.44473258*(r - 1.1635845))) + 1.5910065)*log(r)**r))**0.6672858)
